iter	Passed	Remaining
712	78808	86988
713	78881	86835
714	78944	86673
715	79010	86514
716	79080	86360
717	79150	86205
718	79211	86041
719	79270	85876
720	79348	85731
721	79422	85582
722	80071	86052
723	80759	86560
724	80979	86563
725	81055	86414
726	81137	86271
727	81218	86127
728	81296	85980
729	81443	85906
730	81582	85823
731	81743	85763
732	81829	85625
733	81906	85476
734	81990	85337
735	82079	85201
736	82145	85043
737	82235	84909
738	82316	84766
739	82407	84634
740	83164	85184
741	83963	85773
742	84048	85632
743	84131	85488
744	84200	85330
745	84276	85180
746	84360	85038
747	84445	84896
748	84523	84749
749	84590	84590
750	84677	84451
751	84748	84297
752	84821	84145
753	84888	83987
754	84955	83830
755	85020	83671
756	85097	83523
757	85165	83367
758	85239	83218
759	85309	83064
760	85396	82927
761	85460	82769
762	85526	82611
763	85605	82468
764	85692	82331
765	85773	82190
766	85843	82037
767	85928	81900
768	86017	81767
769	86086	81614
770	86149	81456
771	86205	81292
772	86280	81145
773	86400	81042
774	86518	80937
775	86584	80781
776	86646	80625
777	86725	80482
778	86789	80327
779	86858	80177
780	86931	80030
781	87534	80370
782	88304	80860
783	88523	80845
784	88610	80709
785	88691	80567
786	88780	80432
787	88844	80275
788	88910	80121
789	88987	79976
790	89055	79823
791	89129	79676
792	89215	79540
793	89291	79395
794	89373	79255
795	89442	79105
796	89517	78959
797	89591	78813
798	89663	78666
799	89739	78521
800	89819	78381
801	89899	78241
802	90236	78324
803	91484	79195
804	91562	79050
805	91622	78890
806	91693	78740
807	91769	78595
808	91851	78454
809	91908	78292
810	91983	78145
811	92055	77997
812	92132	77853
813	92214	77714
814	92274	77555
815	92360	77419
816	92438	77277
817	92520	77138
818	92598	76996
819	92662	76842
820	92729	76690
821	92801	76544
822	92874	76398
823	92950	76255
824	93724	76683
825	94481	77095
826	94574	76963
827	94651	76818
828	94724	76670
829	94799	76525
830	94859	76367
831	94933	76220
832	95012	76078
833	95094	75939
834	95157	75784
835	95240	75645
836	95310	75497
837	95391	75357
838	95463	75209
839	95539	75066
840	95623	74929
841	95705	74791
842	95769	74639
843	95943	74572
844	96025	74433
845	96093	74284
846	96164	74138
847	96233	73991
848	96304	73844
849	96380	73702
850	96467	73569
851	96553	73434
852	96640	73301
853	96702	73149
854	96782	73011
855	96852	72865
856	96912	72712
857	96971	72559
858	97042	72414
859	97112	72269
860	97183	72125
861	97239	71970
862	97306	71824
863	97380	71683
864	97457	71544
865	98052	71784
866	98805	72138
867	99033	72107
868	99100	71959
869	99156	71803
870	99233	71662
871	99340	71543
872	99468	71439
873	99582	71325
874	99670	71193
875	99748	71053
876	99825	70913
877	99894	70767
878	99967	70625
879	100035	70479
880	100112	70340
881	100184	70197
882	100262	70058
883	100343	69922
884	100421	69784
885	100491	69641
886	100558	69495
887	100734	69425
888	100824	69295
889	100899	69155
890	100963	69008
891	101032	68865
892	101112	68729
893	101200	68598
894	101266	68453
895	101362	68329
896	101443	68194
897	101512	68051
898	101595	67918
899	101669	67779
900	101727	67630
901	101811	67498
902	101882	67357
903	101955	67218
904	102015	67071
905	102083	66929
906	102153	66788
907	102229	66651
908	102302	66513
909	102387	66383
